neighborhood,latitude,longitude
Opština Novi Beograd Stari Merkator,44.8280022,20.4125119
Opština Novi Beograd Ledine,44.8035245,20.3432558
Opština Voždovac Voždovačka crkva,44.779525,20.4711979
Opština Zemun Save Kovačevića,44.844921,20.3936839
Opština Čukarica Žarkovo,44.7615346,20.4130631
Opština Stari grad Bajlonijeva pijaca,44.81868,20.4671323
Opština Voždovac Šumice,44.7856266,20.4912167
Opština Novi Beograd Blok 65,44.8126665,20.3980309
Opština Savski venac Dedinje,44.7740688,20.4560195
Opština Savski venac Beograd na vodi,44.8048828,20.448043
Opština Zemun Retenzija,44.8348792,20.4119009
Opština Novi Beograd Dr Ivana Ribara,44.8000403,20.3694329
Opština Zvezdara Lion,44.7968154,20.4960362
Opština Novi Beograd Blok 9a,44.8318855,20.4149874
Opština Zvezdara Bulevar kralja Aleksandra,44.784341,20.5195324
Opština Novi Beograd Blok 64,44.808996,20.3917616
Opština Savski venac Senjak,44.7921816,20.4375457
Opština Surčin Surčin (mesto),44.7956031,20.2998398
Opština Palilula 27. marta,44.811466,20.4737306
Opština Zemun Donji grad,44.8414476,20.4123603
Opština Novi Beograd Blok 67 (Belvil),44.8060321,20.4092411
Opština Zvezdara Vukov Spomenik,44.8046413,20.4832729
Opština Rakovica Miljakovac,44.7470721,20.4518071
Opština Zvezdara Đeram pijaca,44.8013332,20.4872266
Opština Stari grad Dorćol,44.8252158,20.460523
Opština Novi Beograd Blok 29,44.8157598,20.4171526
Opština Zvezdara Mirijevo,44.7854051,20.5461547
Opština Novi Beograd Blok 67a (A blok),44.8061288,20.4015421
Opština Palilula Palilulska pijaca,44.8119208,20.4714936
Opština Vračar Hram svetog Save,44.7981382,20.4690468
Opština Stari grad Centar,44.8184554,20.4643411
Opština Voždovac Lekino brdo,44.7891937,20.4947692
Opština Zvezdara Konjarnik,44.7827202,20.5067648
Opština Stari grad Knez Mihailova,44.8177356,20.4569894
Opština Palilula Tašmajdan,44.8096815,20.469996
Opština Čukarica Banovo brdo,44.7767729,20.4155629
Opština Vračar Crveni krst,44.795856,20.4882292
Opština Zvezdara Denkova bašta,44.7880311,20.5009891
Opština Novi Beograd Blok 63,44.805903,20.3823845
Opština Zemun Karađorđev trg,44.837006,20.4174505
Opština Zemun Gornji grad,44.8596448,20.3767304
Opština Palilula Krnjača,44.8475573,20.5185941
Opština Zvezdara Dimitrija Tucovića,44.801971,20.4914278
Opština Vračar Pravni fakultet,44.8072896,20.472733
Opština Novi Beograd Blok 23,44.8084235,20.4240856
Opština Palilula Profesorska kolonija,44.8148751,20.4802817
Opština Vračar Kalenić pijaca,44.8001747,20.475769
Opština Vračar Centar,44.7995311,20.475025
Opština Novi Beograd Arena,44.8099561,20.3800881
Opština Savski venac Sarajevska,44.8029445,20.4541963
Opština Savski venac Gavrila Principa,44.8117361,20.4561673
Opština Čukarica Cerak,44.7520867,20.4184067
Opština Voždovac Banjica,44.7621061,20.4683341
Opština Novi Beograd Blok 22,44.811609,20.4264583
Opština Novi Beograd Blok 72,44.7998622,20.3677259
Opština Vračar Južni bulevar,44.793588,20.4809591
Opština Savski venac Kneza Miloša,44.8083301,20.4635596
Opština Novi Beograd Blok 62,44.8039695,20.376525
Opština Novi Beograd Blok 38,44.8180749,20.4047095
Opština Savski venac Centar,44.7821727,20.4514424
Opština Novi Beograd Hotel Jugoslavija,44.8295445,20.4201481
Opština Zemun Prvomajska,44.8417656,20.3867304
Opština Stari grad Andrićev venac,44.8097554,20.463919
Opština Palilula Višnjička Banja,44.82226,20.534591
Opština Novi Beograd YUBC,44.8224293,20.418225
Opština Stari grad Terazije,44.8126696,20.4612717
Opština Novi Beograd Fontana,44.8211636,20.410414
Opština Zvezdara Cvetkova pijaca,44.7929494,20.5037812
Opština Novi Beograd Blok 34 (Carina - Studentski grad),44.8251222,20.3993279
Opština Zvezdara Lipov lad,44.7953694,20.4940689
Opština Savski venac Topčider,44.7806304,20.4467514
Opština Palilula Ruzveltova,44.8068906,20.4803233
Opština Novi Beograd Blok 21,44.8145051,20.4303868
Opština Novi Beograd Blok 37,44.8202941,20.3992782
Opština Palilula Karaburma,44.8172662,20.509558
Opština Savski venac Sajam,44.7960044,20.4361732
Opština Zemun Kalvarija,44.83816,20.3975132
Opština Novi Beograd Bežanijska kosa 1,44.8220753,20.3882486
Opština Stari grad 25. maj,44.8184554,20.4643411
Opština Voždovac Centar,44.7761819,20.477074
Opština Palilula Bogoslovija,44.8151594,20.488473
Opština Voždovac Trošarina,44.7612309,20.4827283
Opština Voždovac Vojvode Stepe,44.7608581,20.4848359
Opština Stari grad Kalemegdan,44.8222662,20.4508992
Opština Zemun Galenika,44.8570829,20.3672942
Opština Stari grad Obilićev venac,44.8162419,20.4571706
Opština Voždovac Naselje Stepa Stepanović,44.75355,20.49656
Opština Rakovica Labudovo brdo,44.7281854,20.4235866
Opština Stari grad Politika,44.8157799,20.4647394
Opština Novi Beograd Blok 45 (TC Enjub),44.7983726,20.3743625
Opština Palilula Borča,44.8787385,20.4667137
Opština Novi Beograd Bežanijska kosa 3,44.8200035,20.3796226
Opština Vračar Beogradska,44.7995311,20.475025
Opština Novi Beograd Blok 61,44.8033864,20.3699008
Opština Zemun Zelena avenija,44.8377664,20.4049409
Opština Novi Beograd Bežanijska kosa 2,44.8189019,20.3858748
Opština Zemun Ćukovac,44.8456972,20.4057772
Opština Novi Beograd Blok 44 (TC Piramida),44.8019065,20.3869173
Opština Savski venac Zeleni venac,44.8120378,20.4582228
Opština Zemun Zemunske kapije,44.8557936,20.3825288
Opština Zvezdara Olimp,44.7941017,20.5096174
Opština Novi Beograd Blok 19a,44.8062034,20.4295152
Opština Savski venac Ekonomski fakultet,44.8118579,20.4549322
Opština Stari grad Trg Republike,44.816088,20.4599624
Opština Čukarica Filmski grad,44.7532443,20.4316466
Opština Voždovac Vitanovačka,44.7781744,20.4774302
Opština Palilula Cvijićeva,44.8123097,20.4784131
Opština Novi Beograd Tošin bunar,44.8174406,20.3948763
Opština Zemun Zemun Bačka,44.8483327,20.3796686
Opština Savski venac Palata pravde,44.8050588,20.4539077
Opština Savski venac Klinički centar,44.7988648,20.4562503
Opština Zemun Kej,44.8327662,20.4342809
Opština Zvezdara Crveni krst,44.795856,20.4882292
Opština Rakovica Vidikovac,44.7383997,20.4205895
Opština Novi Beograd Blok 24 (Super Vero),44.8100237,20.4175168
Opština Rakovica Stari Košutnjak,44.7570589,20.4457953
Opština Vračar Neimar,44.7945158,20.4695084
Opština Novi Beograd Opština,44.8099561,20.3800881
Opština Zvezdara Bulbulder,44.8028978,20.492606
Opština Stari grad Gundulićev venac,44.8203336,20.4690457
Opština Stari grad Skupština,44.8115854,20.4658261
Opština Novi Beograd Hotel Hyatt,44.8099561,20.3800881
Opština Zvezdara Zeleno brdo,44.7900404,20.5193333
Opština Voždovac Medaković 2,44.7751713,20.4979187
Opština Zvezdara Cvetanova ćuprija,44.7674746,20.5139649
Opština Vračar Slavija,44.8024894,20.4663216
Opština Palilula Zrenjaninski put,44.896794,20.4544953
Opština Palilula Centar,44.9398868,20.4626509
Opština Stari grad Trg Nikole Pašića,44.8125267,20.4631134
Opština Zvezdara Kluz,44.7767137,20.5324028
Opština Voždovac Farmaceutski fakultet,44.7471263,20.494329
Opština Stari grad K-District,44.8275932,20.4538718
Opština Savski venac Lisičji potok,44.76346,20.4578397
Opština Voždovac Medaković 1,44.7757766,20.505115
Opština Voždovac Braće Jerković,44.7705535,20.4943111
Opština Vračar Cvetni trg,44.8056269,20.4653886
Opština Voždovac Autokomanda,44.7902717,20.46634
Opština Zemun Altina,44.855914,20.3540302
Opština Voždovac Vojvode Vlahovića,44.7615321,20.5028696
Opština Palilula Kotež,44.8507114,20.4697987
Opština Zemun Batajnica,44.9061323,20.2748158
Opština Zemun Centar,44.8530888,20.3686508
Opština Čukarica Sremčica,44.6759957,20.3919853
Opština Vračar Krunski venac,44.8035531,20.4714699
Opština Savski venac Prokop,44.7928621,20.4535273
Opština Novi Beograd Blok 28,44.8128631,20.4132254
Opština Stari grad Dom omladine,44.8154752,20.4626885
Opština Rakovica Novo Skojevsko naselje,44.7488098,20.4327635
Opština Zvezdara Zvezdarska šuma,44.8008537,20.5132406
Opština Voždovac Kumodraška,44.7784695,20.4801089
Opština Zvezdara Severni bulevar,44.8103739,20.4933597
Opština Zemun Zemun polje,44.8713495,20.3229809
Opština Rakovica Centar,44.7189343,20.4538059
Opština Zvezdara Smederevski put,44.7636859,20.565037
Opština Rakovica Resnik,44.7108421,20.458374
Opština Stari grad Skadarlija,44.8177794,20.4647229
Opština Palilula Hala Pionir,44.815548,20.4847738
Opština Vračar Bulevar kralja Aleksandra,44.8027133,20.4820642
Opština Palilula Hadžipopovac,44.8118806,20.4833634
Opština Zvezdara Učiteljsko naselje,44.7875437,20.5068282
Opština Voždovac Kumodraž,44.7394333,20.5098129
Opština Zvezdara Slavujev venac,44.8067637,20.4848587
Opština Čukarica Čukarička padina,44.7791826,20.4058581
Opština Voždovac Hotel M,44.7682101,20.4762907
Opština Čukarica Bele vode,44.7501553,20.4028275
Opština Rakovica Kneževac,44.7318473,20.4298488
Opština Savski venac Stadion Partizana,44.788511,20.4585281
Opština Rakovica Kanarevo brdo,44.7540124,20.4534458
Opština Zvezdara Gradska bolnica,44.7999794,20.4994395
Opština Zemun Novi grad,44.8418429,20.3678807
Opština Voždovac FON - Bilećka,44.7726817,20.4752233
Opština Vračar Krunska,44.8052638,20.4702672
Opština Voždovac Dušanovac,44.7817724,20.4820974
Opština Savski venac Savski trg - Pristanište,44.8083711,20.4570323
Opština Rakovica Petlovo brdo,44.7220194,20.4242951
Opština Novi Beograd Blok 2,44.8279252,20.4102683
Opština Grocka Kaluđerica,44.7522835,20.5559331
Opština Zemun Cara Dušana,44.8544096,20.3886462
Opština Savski venac Humska,44.7896754,20.459835
Opština Voždovac Jajinci,44.7422868,20.4838946
Opština Rakovica Vidikovačka padina,44.741401,20.424702
Opština Vračar Čubura,44.7954768,20.4773131
Opština Voždovac Bulevar oslobođenja,44.7665745,20.4777015
Opština Vračar Karađorđev park,44.7956029,20.4661123
Opština Novi Beograd Blok 33,44.8205858,20.4074632
Opština Vračar SC Vračar,44.7992794,20.4836421
Opština Voždovac Konjarnik,44.7827202,20.5067648
Opština Zvezdara Veliki Mokri Lug,44.7574333,20.5254314
Opština Zemun Ugrinovačka,44.8496714,20.3894609
Opština Čukarica Golf,44.6834884,20.3850355
Opština Zvezdara Novo groblje,44.8101795,20.4861007
Opština Čukarica Centar,44.6824427,20.4376369
Opština Palilula Zira,44.808685,20.48285
Opština Zvezdara Mali Mokri Lug,44.7744443,20.53607
Opština Voždovac Saobraćajni fakultet,44.7658643,20.4832307
Opština Palilula Botanička bašta,44.9398868,20.4626509
Opština Zemun Meandri,44.8481064,20.3863092
Opština Voždovac Medaković padina,44.7682594,20.5075023
Opština Novi Beograd Novi Merkator,44.8208284,20.4142846
Opština Stari grad Studentski trg,44.8189483,20.4573839
Opština Palilula Bulevar despota Stefana,44.8177038,20.4958113
Opština Stari grad Kosančićev venac,44.8163355,20.4530116
Opština Palilula Ćalije,44.8068339,20.5168294
Opština Čukarica Železnik,44.7285926,20.3749395
Opština Voždovac Beli potok,44.7061419,20.5199615
Opština Lazarevac Lazarevac (mesto),44.3788123,20.2623661
Opština Savski venac Beograđanka,44.8072274,20.4635488
Opština Novi Beograd Blok 66a,44.8108342,20.4046338
Opština Vračar Gospodara Vučića,44.79222,20.4842028
Opština Čukarica Repište,44.6834884,20.3850355
Opština Stari grad Zeleni venac,44.8120378,20.4582228
Opština Stari grad Cara Dušana,44.822642,20.4614542
Opština Čukarica Cerak vinogradi,44.7453393,20.422222
Opština Savski venac Karađorđeva,44.8122367,20.453563
Opština Čukarica Rušanj,44.6828726,20.4364906
Opština Obrenovac Obrenovac (mesto),44.6536553,20.2000541
Opština Voždovac Darvinova pošta,44.771663,20.4830673
Opština Novi Beograd Sava centar,44.8085099,20.431998
Opština Novi Beograd Stara Bežanija,44.8072486,20.3718846
Opština Savski venac VMA,44.7644061,20.4674923
Opština Palilula Poštanska štedionica,44.9398868,20.4626509
Opština Palilula Mašinski fakultet,44.8068489,20.4773295
Opština Stari grad Kopitareva gradina,44.8161847,20.4684071
Opština Savski venac Balkanska,44.7821727,20.4514424
Opština Savski venac Kraljice Natalije,44.8106002,20.4597294
Opština Novi Beograd Paviljoni,44.8333519,20.4060828
Opština Stari grad Takovska,44.813181,20.4718475
Opština Palilula Višnjica,44.8282294,20.5479417
Opština Grocka Leštane,44.7306842,20.5755643
Opština Čukarica Ada Ciganlija,44.7918226,20.4126107
Opština Zemun Kamendin,44.8725657,20.3303001
Opština Voždovac Jove Ilića,44.7793343,20.471697
Opština Zemun Gardoš,44.8488859,20.4081498
Opština Novi Beograd Blok 3,44.8253168,20.4047852
Opština Čukarica Julino brdo,44.7676092,20.4096266
Opština Savski venac Svetozara Markovića,44.8047144,20.4651766
Opština Surčin Dobanovci,44.8275987,20.2228523
Opština Voždovac Mitrovo Brdo,44.7632321,20.500293
Opština Stari grad Kralja Petra,44.8201709,20.4554862
Opština Savski venac Resavska,44.8046468,20.4619352
Opština Rakovica Skojevsko naselje,44.7488098,20.4327635
Opština Grocka Vinča,44.7672958,20.6107415
Opština Vračar Gradić Pejton,44.7962115,20.4753043
Opština Savski venac Mostarska petlja,44.7990481,20.4477864
Opština Zvezdara Zvezdara 2,44.8091387,20.5015404
Opština Voždovac Medaković 3,44.7757766,20.505115
Opština Stari grad Dunavski kej,44.8272734,20.4671458
Opština Čukarica Rupčine,44.7452579,20.3963089
Opština Voždovac Ustanička,44.7878553,20.4769831
Opština Čukarica Košutnjak,44.7646103,20.4365464
Opština Novi Beograd Blok 58,44.8007004,20.4103691
Opština Voždovac Vojislava Ilića,44.782449,20.5016586
Opština Savski venac Višegradska,44.8013597,20.4546331
Opština Čukarica Trgovačka,44.7568233,20.4149936
Opština Zemun Plavi horizonti,44.8531925,20.336079
Opština Barajevo Gaj,44.5789646,20.4125613
Opština Novi Beograd Blok 66,44.8082287,20.4088911
Opština Savski venac Stadion Crvene zvezde,44.783058,20.4647974
Opština Novi Beograd Blok 41 (Expo centar),44.8110769,20.4114533
Opština Vračar Maksima Gorkog,44.7952277,20.4779417
Opština Novi Beograd Blok 32 (Crkva svetog Dimitrija),44.8203665,20.4116428
Opština Zemun Autoput za Zagreb,45.8150108,15.981919
Opština Barajevo Lipovica,44.6411707,20.431141
Opština Stari grad Atelje 212,44.814295,20.4681403
Opština Voždovac Bioskop Voždovac,44.7822375,20.4717445
Opština Stari grad Francuska,44.8180238,20.4631504
Opština Surčin Ledine,44.8035245,20.3432558
Opština Stari grad Topličin venac,44.8163707,20.4548842
Opština Novi Beograd Ušće,44.8176901,20.4371615
Beograd Opština Savski venac,44.7821727,20.4514424
Opština Stari grad London,51.5072178,-0.1275862
Opština Novi Beograd Blok 43,44.8052381,20.4217134
Opština Novi Beograd Blok 4 (Politehnička akademija),44.8264023,20.4013869
Opština Palilula Rospi ćuprija,44.8153218,20.5231833
Opština Grocka Boleč,44.7312817,20.6039471
Opština Čukarica Sunčana padina,44.6834884,20.3850355
Opština Zemun Marija Bursać,44.8337725,20.3916684
Opština Palilula Dalmatinska,44.8112897,20.4778975
Opština Savski venac Nemanjina,44.8047553,20.4620165
Opština Grocka Vrčin,44.663293,20.591887
Opština Stari grad Savamala,44.8113141,20.4572399
Opština Voždovac Zaplanjska,44.7735581,20.4924226
Opština Savski venac Brankova,44.8150513,20.4539107
Opština Zemun Železnička kolonija,44.8369947,20.3747482
Opština Novi Beograd Blok 37a,44.8099561,20.3800881
Opština Voždovac TC Stadion,44.775008,20.4901606
Opština Voždovac Franš,44.7929395,20.4658328
Opština Čukarica Novi Železnik,44.732139,20.380188
Opština Zemun Muhar,44.8472429,20.4055983
 Opština Vračar Centar,44.7995311,20.475025
